Wall time,Step,Value
1676997942.8578627,12288,-6322.1904296875
1676997949.481024,14336,-6287.79345703125
1676997974.6664789,22528,-6348.15283203125
1676997981.1261218,24576,-6335.2666015625
1676998000.015266,30720,-6334.22607421875
1676998006.3115628,32768,-6267.51513671875
1676998024.7533982,38912,-6268.14794921875
1676998031.8489547,40960,-6242.6484375
1676998037.8194795,43008,-6173.21533203125
1676998062.077938,51200,-6098.3916015625
1676998117.9906905,69632,-5983.2412109375
1676998136.814072,75776,-5923.32568359375
1676998162.8156414,83968,-5951.6826171875
1676998175.2424088,88064,-5948.9189453125
1676998187.991878,92160,-5947.8701171875
1676998194.241734,94208,-5952.23583984375
1676998206.9094784,98304,-5928.85693359375
1676998226.0140991,102400,-5915.5400390625
1676998251.5276785,110592,-5848.56787109375
1676998257.9592957,112640,-5852.3671875
1676998264.4080858,114688,-5863.23486328125
1676998270.498458,116736,-5859.34033203125
1676998277.050136,118784,-5842.86767578125
1676998314.800807,131072,-5894.28564453125
1676998327.5178041,135168,-5908.57373046875
1676998334.0815735,137216,-5932.34912109375
1676998340.428551,139264,-5945.8369140625
1676998346.6864152,141312,-5906.578125
1676998365.5763106,147456,-5907.150390625
1676998372.0370219,149504,-5932.77880859375
1676998377.9869754,151552,-5931.8798828125
1676998384.418321,153600,-5917.2451171875
1676998415.555251,163840,-5839.0927734375
1676998447.327149,174080,-5717.99072265625
1676998466.75614,180224,-5628.09619140625
1676998473.816166,182272,-5638.416015625
1676998512.0584605,194560,-5446.2412109375
1676998569.5265577,210944,-5328.6064453125
1676998588.7187374,217088,-5220.51611328125
1676998594.7035432,219136,-5196.927734375
1676998640.064354,233472,-5048.91796875
1676998659.5452824,239616,-5035.28662109375
1676998671.9150312,243712,-5045.26123046875
1676998716.6349218,258048,-4996.42626953125
1676998723.0460408,260096,-5018.3359375
1676998741.4210155,266240,-4945.837890625
1676998747.5457137,268288,-4907.15478515625
1676998794.3820407,282624,-4775.287109375
1676998807.1615238,286720,-4766.45703125
1676998820.0148757,290816,-4729.2978515625
1676998826.5218122,292864,-4724.3271484375
1676998832.9229043,294912,-4661.189453125
1676998881.9529104,309248,-4666.1513671875
1676998913.6020741,319488,-4373.81396484375
1676998926.1956801,323584,-4250.44775390625
1676998932.7005482,325632,-4230.9697265625
1676998938.9491544,327680,-4158.509765625
1676998958.0654569,333824,-4067.31787109375
1676998977.5380192,339968,-3892.88427734375
1676998990.4649267,344064,-3852.9111328125
1676998997.0991619,346112,-3806.203857421875
1676999015.8152723,352256,-3707.956298828125
1676999054.1366382,364544,-3471.93017578125
1676999060.8716824,366592,-3426.191162109375
1676999073.8683877,370688,-3375.475341796875
1676999092.7483463,376832,-3336.71435546875
1676999105.4184585,380928,-3321.083251953125
1676999112.0587249,382976,-3330.230224609375
1676999125.016694,387072,-3330.403564453125
1676999137.2471118,391168,-3304.206787109375
1676999143.7394702,393216,-3322.032958984375
1676999192.2079623,407552,-3261.599609375
1676999245.1645944,423936,-3128.168212890625
1676999251.4827583,425984,-3127.662353515625
1676999258.1621435,428032,-3074.0419921875
1676999283.8656065,436224,-3118.614501953125
1676999349.025369,456704,-3031.333740234375
1676999355.2797642,458752,-2983.805419921875
1676999368.393297,462848,-3014.676513671875
1676999381.7136106,466944,-3017.227783203125
1676999394.6442773,471040,-3049.76416015625
1676999413.8373158,477184,-3085.805908203125
1676999420.1693904,479232,-3072.71630859375
1676999426.3051085,481280,-3105.798583984375
1676999445.6388004,487424,-3203.787109375
1676999513.8402815,507904,-3132.28759765625
1676999527.0632033,512000,-3077.6572265625
1676999565.7443879,524288,-3005.3369140625
1676999584.314517,530432,-2918.03662109375
1676999590.2967212,532480,-2940.72998046875
1676999596.855288,534528,-2939.00341796875
1676999603.3646412,536576,-2888.291259765625
1676999615.5521748,540672,-2834.714599609375
1676999641.5528693,548864,-2810.49609375
1676999654.322407,552960,-2826.41943359375
1676999667.1824813,557056,-2781.68408203125
1676999680.4124508,561152,-2737.017578125
1676999712.9965577,571392,-2694.447021484375
1676999752.0669081,583680,-2607.301025390625
1676999797.3724399,598016,-2515.97119140625
1676999807.7286863,600064,-2540.06494140625
